Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_437.jpg,0,0,0,0,99.66999,85.58897,0.000235871,56.82556,-2.291937E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_487.jpg,0,0,0,0,99.66999,85.58897,0.0002359015,56.82556,-3.314796E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_537.jpg,0,0,0,0,99.66999,85.58897,0.0002359167,56.82556,-3.826192E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_586.jpg,0,0,0,0,99.66999,85.58897,0.000235871,56.82556,-2.291937E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_637.jpg,0,0,0,0,99.66999,85.58897,0.0002359167,56.82556,-3.826192E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_687.jpg,0,0,0,0,99.66999,85.58897,0.0002359015,56.82556,-3.314796E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_736.jpg,0,0,0,0,99.66999,85.58897,0.0002359015,56.82556,-3.314796E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_787.jpg,0,0,0,0,99.66999,85.58897,0.0002359319,56.82556,-4.337589E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_837.jpg,0,0,0,0,99.66999,85.58897,0.0002358862,56.82556,-2.803334E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_887.jpg,0,0,0,0,99.66999,85.58897,0.0002359167,56.82556,-3.826192E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_937.jpg,0,0,0,0,99.66999,85.58897,0.000235871,56.82556,-2.291937E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_55_987.jpg,0,0,0,0,99.66999,85.58897,0.0002359015,56.82556,-3.314796E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_56_036.jpg,0,0,0,0,99.66999,85.58897,0.000235958,56.82556,-1.475891E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_56_087.jpg,0,0,0,0,99.66999,85.58897,0.0002359885,56.82556,-2.498685E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_56_137.jpg,0,0,0,0,99.66999,85.58897,0.0002359428,56.82556,-9.644948E-08
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_56_187.jpg,0,0,0,0,99.66999,85.58897,0.0002359733,56.82556,-1.987288E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_56_237.jpg,0,0,0,0,99.66999,85.58897,0.0002359733,56.82556,-1.987288E-07
/Users/raghu/RND/raghu/IMG/robocam_2017_06_05_22_05_56_287.jpg,0,0,0,0,99.66999,85.58897,0.000235958,56.82556,-1.475891E-07
